"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Peut-être que les $equipments sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $equipment n'est toujours pas réparée. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Peut-être que les $items sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Cette $item n'est toujours pas réparée. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Encore un essai pathétique pour réparer ce maudit $equipment : $equipment."
"EV:OBJECT_NOT_REPAIRED" , "Encore un essai pathétique pour réparer ce maudit $equipment."
"EV:OBJECT_NOT_REPAIRED" , "Encore un essai pathétique pour réparer ce maudit $item."
"EV:OBJECT_NOT_REPAIRED" , "ITrakie®© ou pas $item...Telle est la question... et les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être que les $equipments sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $equipment demeure... Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être que les $items sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de ce $item demeure... Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Peut-être que les $equipments sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $equipment demeure... Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Peut-être que les $items sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "L'état de cette $item demeure... Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment est toujours cassée. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Tu quoque mi fili..."
